BIN	chr	bin_start	bin_end	LOD
N02076p589810	2	589810	800465	1.620679031
N02077p800465	2	800465	900582	1.06968326
N02078p900582	2	900582	1073480	0.850340043
N02079p1073480	2	1073480	1487009	0.740483021
N02080p1487009	2	1487009	1660713	0.937852862
N02081p1660713	2	1660713	2008861	0.219984712
N02082p2008861	2	2008861	2110323	0.154674357
N02083p2110323	2	2110323	2984693	0.520833506
N02084p2984693	2	2984693	3481536	0.194123235
N02085p3481536	2	3481536	3657514	0.349191039
N02086p3657514	2	3657514	4242149	0.304689824
N02087p4242149	2	4242149	4408377	0.533955195
N02088p4408377	2	4408377	5300146	0.388446006
N02089p5300146	2	5300146	5569508	0.139713986
N02090p5569508	2	5569508	5892227	0.273599743
N02091p5892227	2	5892227	6244534	0.785094803
N02092p6244534	2	6244534	6401749	0.565554384
N02093p6401749	2	6401749	6700450	0.856184823
N02094p6700450	2	6700450	6852655	2.031283015
N02095p6852655	2	6852655	7001472	1.095932221
N02096p7001472	2	7001472	7777806	0.746330837
N02097p7777806	2	7777806	8283650	0.807788229
N02098p8283650	2	8283650	8601107	0.479159511
N02099p8601107	2	8601107	10217785	0.487797964
N02100p10217785	2	10217785	11130699	0.002549287
N02101p11130699	2	11130699	11600178	0.334858616
N02102p11600178	2	11600178	12091362	1.254688934
N02103p12091362	2	12091362	16068540	0.034352376
N02104p16068540	2	16068540	17261161	0.197027842
N02105p17261161	2	17261161	17531143	0.405424566
N02106p17531143	2	17531143	20300258	0.405424566
N02107p20300258	2	20300258	21295457	0.121255393
N02108p21295457	2	21295457	22113421	0.275844924
N02109p22113421	2	22113421	23077334	0.888560936
N02110p23077334	2	23077334	23893802	0.324848461
N02111p23893802	2	23893802	24502020	0.339294341
N02112p24502020	2	24502020	24882249	0.115280445
N02113p24882249	2	24882249	26260424	0.782147529
N02114p26260424	2	26260424	26602517	1.239021904
N02115p26602517	2	26602517	27528734	1.334598519
N02116p27528734	2	27528734	27900121	0.705797026
N02117p27900121	2	27900121	29584046	0.232836334
N02118p29584046	2	29584046	29900460	0.946817819
N02119p29900460	2	29900460	30600314	0.018136162
N02120p30600314	2	30600314	30910348	0.40965646
N02121p30910348	2	30910348	32377426	0.40965646
N02122p32377426	2	32377426	32501840	0.017528887
N02123p32501840	2	32501840	33100520	0.292112357
N02124p33100520	2	33100520	33501902	1.509707749
N02125p33501902	2	33501902	33577323	0.947530688
N02126p33577323	2	33577323	34000058	1.296679078
N02127p34000058	2	34000058	34025732	0.550538226
N02128p34025732	2	34025732	34160714	0.390027327
N02129p34160714	2	34160714	34200287	0.235426063
N02130p34200287	2	34200287	34366232	0.520923948
N02131p34366232	2	34366232	35937250	0.003310592
N03132p216406	3	216406	558019	0.257755572
N03133p558019	3	558019	2141530	0.182139833
N03134p2141530	3	2141530	2401474	0.006401966
N03135p2401474	3	2401474	3884831	0.491726264
N03136p3884831	3	3884831	4433662	0.50603429
N03137p4433662	3	4433662	4700252	0.282213978
N03138p4700252	3	4700252	5900936	0.080394346
N03139p5900936	3	5900936	6204167	0.35002646
N03140p6204167	3	6204167	6957093	0.347230779
N03141p6957093	3	6957093	7465394	0.075553423
N03142p7465394	3	7465394	7970416	0.115606623
N03143p7970416	3	7970416	9341420	0.00250839
N03144p9341420	3	9341420	10341775	0.473135429
N03145p10341775	3	10341775	10814365	0.345955019
N03146p10814365	3	10814365	11900189	0.015830391
N03147p11900189	3	11900189	13226047	0.03217626
N03148p13226047	3	13226047	14455981	0.462276894
N03149p14455981	3	14455981	14585079	0.112454123
N03150p14585079	3	14585079	14821233	0.027590161
N03151p14821233	3	14821233	14929968	0.214926367
N03152p14929968	3	14929968	15922493	0.499592885
N03153p15922493	3	15922493	16010606	0.055414052
N03154p16010606	3	16010606	16878666	0.056577857
N03155p16878666	3	16878666	16963341	0.837407619
N03156p16963341	3	16963341	21704172	0.971302849
N03157p21704172	3	21704172	22100657	0.954074314
N03158p22100657	3	22100657	22484577	0.649541151
N03159p22484577	3	22484577	22982431	0.628148284
N03160p22982431	3	22982431	24162432	0.466627446
N03161p24162432	3	24162432	24720040	0.397429088
N03162p24720040	3	24720040	25111321	0.989802514
N03163p25111321	3	25111321	25330339	0.940676568
N03164p25330339	3	25330339	26479787	0.802184087
N03165p26479787	3	26479787	26505377	1.487742099
N03166p26505377	3	26505377	26804740	1.413994853
N03167p26804740	3	26804740	27319223	0.770708103
N03168p27319223	3	27319223	27484832	0.46948501
N03169p27484832	3	27484832	27689539	0.544342419
N03170p27689539	3	27689539	28107342	0.059540168
N03171p28107342	3	28107342	28657938	0.131004551
N03172p28657938	3	28657938	28971198	0.125979228
N03173p28971198	3	28971198	29099650	0.532301692
N03174p29099650	3	29099650	29443202	0.444753963
N03175p29443202	3	29443202	30097709	0.30348443
N03176p30097709	3	30097709	30401254	0.312460177
N03177p30401254	3	30401254	30453550	0.294881742
N03178p30453550	3	30453550	30690890	0.414463643
N03179p30690890	3	30690890	30840903	0.472904162
N03180p30840903	3	30840903	31158190	0.541875897
N03181p31158190	3	31158190	31211835	0.298193628
N03182p31211835	3	31211835	31759927	0.308600714
N03183p31759927	3	31759927	31980774	0.013927719
N03184p31980774	3	31980774	32180761	0.062072862
N03185p32180761	3	32180761	32500142	0.457704395
N03186p32500142	3	32500142	32577081	0.353949299
N03187p32577081	3	32577081	33231091	0.391930756
N03188p33231091	3	33231091	33258668	0.433496438
N03189p33258668	3	33258668	33447130	0.574725582
N03190p33447130	3	33447130	33798080	1.162985714
N03191p33798080	3	33798080	33900141	0.399105401
N03192p33900141	3	33900141	34501498	0.09262131
N03193p34501498	3	34501498	34966710	0.690135095
N03194p34966710	3	34966710	35656292	0.290631358
N03195p35656292	3	35656292	35972108	0.157490894
N03196p35972108	3	35972108	36004055	1.454053822
N03197p36004055	3	36004055	36216548	2.338469962
N03198p36216548	3	36216548	36413819	2.07930812
N04199p203512	4	203512	371356	2.190799091
N04200p371356	4	371356	586600	2.000108417
N04201p586600	4	586600	666472	2.420667469
N04202p666472	4	666472	1872427	2.697438971
N04203p1872427	4	1872427	2043908	0.441340104
N04204p2043908	4	2043908	2381686	1.336736634
N04205p2381686	4	2381686	4302959	1.083932279
N04206p4302959	4	4302959	4601452	0.385987911
N04207p4601452	4	4601452	4741085	0.252780778
N04208p4741085	4	4741085	5208985	0.241935586
N04209p5208985	4	5208985	5316873	0.049238608
N04210p5316873	4	5316873	5500030	0.186933165
N04211p5500030	4	5500030	5985673	0.395350072
N04212p5985673	4	5985673	15492783	0.428511604
N04213p15492783	4	15492783	16766495	1.50551803
N04214p16766495	4	16766495	16924548	0.449967291
N04215p16924548	4	16924548	17295310	0.48601505
N04216p17295310	4	17295310	17552935	0.299687304
N04217p17552935	4	17552935	19401137	0.613529491
N04218p19401137	4	19401137	19600324	0.152529451
N04219p19600324	4	19600324	19890398	0.166717429
N04220p19890398	4	19890398	20508686	0.088193817
N04221p20508686	4	20508686	20542029	0.050598987
N04222p20542029	4	20542029	20709819	0.058199963
N04223p20709819	4	20709819	20909472	0.056015699
N04224p20909472	4	20909472	21243526	0.287934339
N04225p21243526	4	21243526	21713928	0.03154645
N04226p21713928	4	21713928	21971419	0.111371609
N04227p21971419	4	21971419	23338467	0.046085514
N04228p23338467	4	23338467	23787085	0.166686875
N04229p23787085	4	23787085	25888164	0.22723543
N04230p25888164	4	25888164	26167784	0.188476884
N04231p26167784	4	26167784	26341172	0.49308644
N04232p26341172	4	26341172	26935082	0.458961915
N04233p26935082	4	26935082	29781550	0.026302398
N04234p29781550	4	29781550	29860667	0.132624926
N04235p29860667	4	29860667	29993182	0.937671373
N04236p29993182	4	29993182	30012604	0.901980559
N04237p30012604	4	30012604	30310265	1.123447597
N04238p30310265	4	30310265	30726305	0.964727385
N04239p30726305	4	30726305	30811193	0.952151291
N04240p30811193	4	30811193	30948867	0.267951523
N04241p30948867	4	30948867	31318328	0.160117108
N04242p31318328	4	31318328	31907977	0.214693531
N04243p31907977	4	31907977	32095167	0.240620101
N04244p32095167	4	32095167	32519164	0.257631788
N04245p32519164	4	32519164	32889662	0.548267411
N04246p32889662	4	32889662	32971084	0.12975647
N04247p32971084	4	32971084	33258884	0.289882393
N04248p33258884	4	33258884	33344629	0.574841769
N04249p33344629	4	33344629	33510001	0.418736961
N04250p33510001	4	33510001	34400370	0.007914649
N04251p34400370	4	34400370	34473955	0.02176954
N04252p34473955	4	34473955	34642920	1.017191327
N04253p34642920	4	34642920	34853190	1.957738839
N04254p34853190	4	34853190	34931819	0.395997064
N04255p34931819	4	34931819	35000168	0.271048654
N04256p35000168	4	35000168	35502694	0.347147126
N05257p101129	5	101129	207831	1.268007129
N05258p207831	5	207831	350204	1.303614055
N05259p350204	5	350204	2005608	1.02471161
N05260p2005608	5	2005608	2087725	0.299666951
N05261p2087725	5	2087725	2300629	0.075417896
N05262p2300629	5	2300629	2342662	1.517428772
N05263p2342662	5	2342662	3801771	0.798210351
N05264p3801771	5	3801771	3873430	0.736686139
N05265p3873430	5	3873430	4260855	0.62063343
N05266p4260855	5	4260855	5466242	0.671674844
N05267p5466242	5	5466242	6619199	0.535345316
N05268p6619199	5	6619199	6750683	0.341688597
N05269p6750683	5	6750683	7196215	0.055266428
N05270p7196215	5	7196215	7302018	0.076142237
N05271p7302018	5	7302018	7493155	0.17363276
N05272p7493155	5	7493155	7903889	0.080490426
N05273p7903889	5	7903889	7993072	0.134982815
N05274p7993072	5	7993072	10670612	0.110247963
N05275p10670612	5	10670612	13807670	0.418433466
N05276p13807670	5	13807670	17238253	0.153754523
N05277p17238253	5	17238253	17304225	0.470759451
N05278p17304225	5	17304225	17601788	0.698120466
N05279p17601788	5	17601788	18000609	0.534991904
N05280p18000609	5	18000609	18200323	0.099788845
N05281p18200323	5	18200323	18477820	0.07336821
N05282p18477820	5	18477820	19100244	0.153088885
N05283p19100244	5	19100244	19883830	0.164768095
N05284p19883830	5	19883830	20270895	0.336327924
N05285p20270895	5	20270895	20948083	0.003016511
N05286p20948083	5	20948083	21396536	0.229643842
N05287p21396536	5	21396536	21610913	0.269496755
N05288p21610913	5	21610913	24112649	0.018869903
N05289p24112649	5	24112649	24975949	0.731482472
N05290p24975949	5	24975949	28792455	0.24838255
N05291p28792455	5	28792455	29958434	0.191140424
N06292p142476	6	142476	595294	1.248346932
N06293p595294	6	595294	701809	0.865608713
N06294p701809	6	701809	946590	0.27935976
N06295p946590	6	946590	2396497	0.039013506
N06296p2396497	6	2396497	3993744	0.018745731
N06297p3993744	6	3993744	6748358	0.018745731
N06298p06748358	6	6748358	8231471	0.391712416
N06299p8231471	6	8231471	8374697	1.471789465
N06300p8374697	6	8374697	10605450	0.565338688
N06301p10605450	6	10605450	10999716	0.471707329
N06302p10999716	6	10999716	11503588	0.172535985
N06303p11503588	6	11503588	12049459	0.25392527
N06304p12049459	6	12049459	14411934	1.250521335
N06305p14411934	6	14411934	17595901	1.577514125
N06306p17595901	6	17595901	19441741	1.021535617
N06307p19441741	6	19441741	19630637	2.215846713
N06308p19630637	6	19630637	19865075	1.343491382
N06309p19865075	6	19865075	19869151	1.343491382
N06310p19869151	6	19869151	20412248	2.215846713
N06311p20412248	6	20412248	24000865	2.010051869
N06312p24000865	6	24000865	26400689	2.010051869
N06313p26400689	6	26400689	26553263	0.895368469
N06314p26553263	6	26553263	27500835	0.330901766
N06315p27500835	6	27500835	27612798	0.189133284
N06316p27612798	6	27612798	27910044	0.189133284
N06317p27910044	6	27910044	28173042	0.529743554
N06318p28173042	6	28173042	29693585	0.198444072
N06319p29693585	6	29693585	31112049	1.081346568
N06320p31112049	6	31112049	31248787	1.374793769
N07321p9802	7	9802	504786	0.736922179
N07322p504786	7	504786	798686	0.125507838
N07323p798686	7	798686	2100856	0.091969378
N07324p2100856	7	2100856	2440939	0.429835818
N07325p2440939	7	2440939	2790302	0.782935749
N07326p2790302	7	2790302	3117113	0.513891737
N07327p3117113	7	3117113	3395232	0.450447696
N07328p3395232	7	3395232	3672199	0.058740866
N07329p3672199	7	3672199	3845804	0.384801002
N07330p3845804	7	3845804	4170738	0.935346428
N07331p4170738	7	4170738	4909839	1.042896775
N07332p4909839	7	4909839	5002210	0.000229551
N07333p5002210	7	5002210	5128208	0.165659805
N07334p5128208	7	5128208	5236763	3.00446674
N07335p5236763	7	5236763	5728057	2.054319767
N07336p5728057	7	5728057	5897589	2.884668048
N07337p5897589	7	5897589	6901226	0.91101302
N07338p6901226	7	6901226	7651467	2.644639042
N07339p7651467	7	7651467	8400759	3.866658456
N07340p8400759	7	8400759	12286769	4.376280634
N07341p12286769	7	12286769	15283320	7.020052225
N07342p15283320	7	15283320	17003242	2.072991112
N07343p17003242	7	17003242	17679137	1.352989705
N07344p17679137	7	17679137	18529660	0.774571138
N07345p18529660	7	18529660	19248844	2.925438418
N07346p19248844	7	19248844	19300288	0.526877987
N07347p19300288	7	19300288	19397439	0.32335493
N07348p19397439	7	19397439	19499306	0.761369623
N07349p19499306	7	19499306	19545562	0.661096632
N07350p19545562	7	19545562	19847138	0.234177014
N07351p19847138	7	19847138	19900879	0.159344085
N07352p19900879	7	19900879	20902199	0.260425552
N07353p20902199	7	20902199	21151779	0.34752486
N07354p21151779	7	21151779	21909694	0.444356648
N07355p21909694	7	21909694	22510537	0.451348781
N07356p22510537	7	22510537	22631553	0.65737622
N07357p22631553	7	22631553	23186109	1.747497493
N07358p23186109	7	23186109	24000239	1.706636187
N07359p24000239	7	24000239	24382028	1.779725398
N07360p24382028	7	24382028	24502061	2.091241472
N07361p24502061	7	24502061	25002220	1.228431781
N07362p25002220	7	25002220	25108269	0.739824847
N07363p25108269	7	25108269	27736013	1.516527678
N07364p27736013	7	27736013	28378091	0.008118069
N07365p28378091	7	28378091	29000683	0.216497724
N07366p29000683	7	29000683	29400732	0.482988386
N07367p29400732	7	29400732	29616705	0.481330817
N07368p29616705	7	29616705	29697621	6.140641012
N08369p61082	8	61082	1125921	2.514446925
N08370p1125921	8	1125921	1622169	2.152642427
N08371p1622169	8	1622169	1665612	3.492899396
N08372p1665612	8	1665612	2672450	4.075639685
N08373p2672450	8	2672450	3030687	0.965240209
N08374p3030687	8	3030687	3612083	0.994013243
N08375p3612083	8	3612083	3800983	1.098373368
N08376p3800983	8	3800983	4366152	1.139642127
N08377p4366152	8	4366152	5117699	3.777861287
N08378p5117699	8	5117699	8101734	3.844232924
N08379p8101734	8	8101734	8495042	1.944973648
N08380p8495042	8	8495042	9400393	0.143953463
N08381p9400393	8	9400393	9627673	1.102679255
N08382p9627673	8	9627673	15817664	0.99700951
N08383p15817664	8	15817664	19087675	0.937940314
N08384p19087675	8	19087675	19200201	0.187834704
N08385p19200201	8	19200201	19728515	0.042019596
N08386p19728515	8	19728515	20139730	0.002372657
N08387p20139730	8	20139730	20500371	0.624045865
N08388p20500371	8	20500371	20688224	0.79830518
N08389p20688224	8	20688224	21593653	0.655788925
N08390p21593653	8	21593653	22500359	0.589561526
N08391p22500359	8	22500359	23447319	1.044890866
N08392p23447319	8	23447319	24691803	0.587667198
N08393p24691803	8	24691803	26071986	0.269041773
N08394p26071986	8	26071986	26098341	0.816045912
N08395p26098341	8	26098341	28443022	2.292739858
N09396p3468835	9	3468835	5927366	0.419691502
N09397p5927366	9	5927366	7020221	0.19744389
N09398p7020221	9	7020221	7101663	0.188732157
N09399p7101663	9	7101663	7140542	0.176749044
N09400p7140542	9	7140542	8001195	0.62264276
N09401p8001195	9	8001195	9045950	0.046641241
N09402p9045950	9	9045950	9227997	0.447088242
N09403p9227997	9	9227997	9479815	0.195201564
N09404p9479815	9	9479815	9855389	0.036475352
N09405p9855389	9	9855389	10524648	0.080646183
N09406p10524648	9	10524648	11271537	1.006943067
N09407p11271537	9	11271537	12081674	0.46147757
N09408p12081674	9	12081674	12673552	0.185887488
N09409p12673552	9	12673552	13003381	0.424805414
N09410p13003381	9	13003381	13202214	0.421248704
N09411p13202214	9	13202214	13823635	1.148459388
N09412p13823635	9	13823635	14016210	0.430924794
N09413p14016210	9	14016210	14548336	0.175120851
N09414p14548336	9	14548336	15020535	1.197531355
N09415p15020535	9	15020535	15483245	0.395472452
N09416p15483245	9	15483245	16652226	0.090983588
N09417p16652226	9	16652226	17738558	0.313823728
N09418p17738558	9	17738558	20855599	0.36076721
N09419p20855599	9	20855599	20992651	0.265235416
N09420p20992651	9	20992651	21469374	0.060325772
N09421p21469374	9	21469374	21576196	0.239538908
N09422p21576196	9	21576196	21938055	0.569217297
N09423p21938055	9	21938055	22641750	1.021628043
N09424p22641750	9	22641750	22789145	0.444503647
N09425p22789145	9	22789145	23012720	0.199975846
N10426p55673	10	55673	806844	0.401753041
N10427p806844	10	806844	1418360	0.173797199
N10428p1418360	10	1418360	1515971	0.968769621
N10429p1515971	10	1515971	1839966	0.001418785
N10430p1839966	10	1839966	2739904	0.2996888
N10431p2739904	10	2739904	2812481	0.092985362
N10432p2812481	10	2812481	3966764	0.089662941
N10433p3966764	10	3966764	4665291	0.230896489
N10434p4665291	10	4665291	5462025	0.114717631
N10435p5462025	10	5462025	6404197	0.02288476
N10436p6404197	10	6404197	8916927	0.831083084
N10437p8916927	10	8916927	10103391	0.070950707
N10438p10103391	10	10103391	10286492	0.497682006
N10439p10286492	10	10286492	10662578	0.614290497
N10440p10662578	10	10662578	11717645	0.109787035
N10441p11717645	10	11717645	13221176	0.073842475
N10442p13221176	10	13221176	13942608	0.450992607
N10443p13942608	10	13942608	14800639	2.486296586
N10444p14800639	10	14800639	15016518	0.59466328
N10445p15016518	10	15016518	17900158	1.518692994
N10446p17900158	10	17900158	18000039	1.858985415
N10447p18000039	10	18000039	18500793	0.727689408
N10448p18500793	10	18500793	18702352	0.766873887
N10449p18702352	10	18702352	18706998	0.667538004
N10450p18706998	10	18706998	20284515	1.581697798
N10451p20284515	10	20284515	21800135	0.415853482
N10452p21800135	10	21800135	23207287	0.38321687
N11453p107456	11	107456	800028	0.230909537
N11454p800028	11	800028	1300036	0.08518966
N11455p1300036	11	1300036	1853016	0.633928658
N11456p1853016	11	1853016	1947983	1.068045673
N11457p1947983	11	1947983	2436354	1.546453447
N11458p2436354	11	2436354	2500185	1.243137732
N11459p2500185	11	2500185	2846280	3.022546197
N11460p2846280	11	2846280	3285978	1.497555372
N11461p3285978	11	3285978	3900526	0.716404664
N11462p3900526	11	3900526	4433967	0.563787446
N11463p4433967	11	4433967	4464320	1.230014118
N11464p4464320	11	4464320	5168114	0.504007341
N11465p5168114	11	5168114	5805234	0.632280253
N11466p5805234	11	5805234	5887594	0.355882134
N11467p5887594	11	5887594	6463155	0.177545522
N11468p6463155	11	6463155	6507924	0.828657947
N11469p6507924	11	6507924	7204422	1.54388495
N11470p7204422	11	7204422	7593545	2.136259546
N11471p7593545	11	7593545	7880671	1.169950982
N11472p7880671	11	7880671	8082308	0.904214614
N11473p8082308	11	8082308	8799582	1.725801821
N11474p8799582	11	8799582	11128831	0.196998868
N11475p11128831	11	11128831	15302863	0.68879634
N11476p15302863	11	15302863	15977859	0.376639975
N11477p15977859	11	15977859	17000104	0.423927656
N11478p17000104	11	17000104	17301403	0.489000724
N11479p17301403	11	17301403	17318687	0.81880494
N11480p17318687	11	17318687	17801489	1.13004349
N11481p17801489	11	17801489	17949100	1.041340803
N11482p17949100	11	17949100	18156245	0.778935667
N11483p18156245	11	18156245	18201217	0.215049117
N11484p18201217	11	18201217	18923176	0.408003217
N11485p18923176	11	18923176	20112018	0.36828523
N11486p20112018	11	20112018	20573568	0.285610126
N11487p20573568	11	20573568	21001699	1.573860662
N11488p21001699	11	21001699	21819231	2.173773531
N11489p21819231	11	21819231	23240773	1.557375151
N11490p23240773	11	23240773	23864012	1.467688665
N11491p23864012	11	23864012	24674361	0.13753913
N11492p24674361	11	24674361	25862368	0.093525453
N11493p25862368	11	25862368	26505369	0.774795249
N11494p26505369	11	26505369	26945990	0.794417136
N11495p26945990	11	26945990	27957347	1.69054344
N11496p27957347	11	27957347	29021106	2.194814554
N12497p152441	12	152441	1139621	0.038322432
N12498p1139621	12	1139621	3012555	1.47393049
N12499p3012555	12	3012555	3143932	0.496377986
N12500p3143932	12	3143932	3922076	0.048298926
N12501p3922076	12	3922076	4867702	0.12447695
N12502p4867702	12	4867702	4910622	0.090271385
N12503p4910622	12	4910622	9228549	0.021613762
N12504p9228549	12	9228549	9328006	0.121026349
N12505p9328006	12	9328006	9798177	0.374584672
N12506p9798177	12	9798177	9922308	0.358370562
N12507p9922308	12	9922308	10292580	0.394528084
N12508p10292580	12	10292580	13098568	0.462156576
N12509p13098568	12	13098568	13760980	0.419854626
N12510p13760980	12	13760980	14451520	0.154574968
N12511p14451520	12	14451520	14829059	0.333592191
N12512p14829059	12	14829059	16697382	0.273875714
N12513p16697382	12	16697382	22610780	0.333718271
N12514p22610780	12	22610780	23891417	1.932500479
N12515p23891417	12	23891417	25860695	0.050833161
N12516p25860695	12	25860695	26927862	0.065876645
N12517p26927862	12	26927862	27212504	0.488489382
N12518p27212504	12	27212504	27531856	1.301291117
